"Zaman damgası","Name","Email","Stellar wallet address (starts with G...)","How would you rate  Stellar Crowdfund?","Your feedback &suggestions (optional)"
"2026/07/07 6:09:28 ÖS GMT+3","Oğuzhan Eren","oguzhan.eren17@gmail.com","GDSRCSTOIVZPZ2EOFOJ2V5JU34TLQJFWNJWXWANN4AEAP3Z5RBCGBXGW","5","Güvenilir ve şeffaf, tam aradığım proje."
"2026/07/07 6:09:45 ÖS GMT+3","Melis Ateş","melis.ates67@gmail.com","GBKDDND76TAOM4PSPXSOGCE6HD5BBRTQPKLZMTRSIF6VSZZAGWU6ATBP","4","Detaylı kampanya takibi mümkün, çok iyi."
"2026/07/07 6:09:52 ÖS GMT+3","Tolga Yavuz","tolga.yavuz11@gmail.com","GBW3Q6VJQMDMEL4SZAJOXWCM7SGV6VH7PRGJZUDVUBLOTUWXDIMHHUQP","4","Uygulama çok hızlı ve sorunsuz çalışıyor."
"2026/07/07 6:09:53 ÖS GMT+3","Duygu Yalçın","duygu.yalcin47@gmail.com","GAVB27PYRDF52EEWTETNJS3P5ZZDGKOYYSJQRSYEIMS26HBHIOJIPG4F","4","NFT özelliği gerçekten motive edici."
"2026/07/07 6:10:17 ÖS GMT+3","Onur Aydoğan","onur.aydogan37@gmail.com","GCE7SFWCVMPETJGCGGSGHDLI7XDXE2YREAL5WV5C3QAR2YO25GRMZG5V","4","Gelecekte çok daha büyük projelere imza atacağınıza eminim."
"2026/07/07 6:10:18 ÖS GMT+3","Ece Duman","ece.duman57@gmail.com","GCWEYOB5NXRTW7AH3D6P2Z4KYQF2VD54XSXOSQSOKR6HMBBTAKXN752V","5","Milestone sistemi sayesinde fonların nereye gittiğini biliyorum."
"2026/07/07 6:10:22 ÖS GMT+3","Ahmet Yılmaz","ahmet.yilmaz34@gmail.com","GC3EX3Q4LBTFZECIFY3PZOO2VSXJHVJ6X6PRBZXK7ZHMKG5SJLDDNCAU","5","Harika bir platform, gerçekten güven veriyor!"
"2026/07/07 6:10:27 ÖS GMT+3","Pelin Erdoğan","pelin.erdogan94@gmail.com","GDKNIN35TVREZN4SDXL4RQH3IMLXTCPTFHKH77XUAM6DRUIOFBVSM77S","5","Milestone takibi çok net ve anlaşılır."
"2026/07/07 6:10:28 ÖS GMT+3","Merve Güneş","merve.gunes54@gmail.com","GCUFYMAMW4NY326ZRK2OAM35NO456BPBMVWZSLOEAXVMKRKQBB77GIDY","5","Bağış yapmak hiç bu kadar kolay olmamıştı!"
"2026/07/07 6:10:37 ÖS GMT+3","Alper Şimşek","alper.simsek33@gmail.com","GAHM7K3H66L3G3KGQU52AAXWKBP35YLCZSMJTKB6NEVISI6YZG6RSU5E","4","Şeffaflık ve güven bu projede en ön planda."
"2026/07/07 6:10:47 ÖS GMT+3","Hande Çakır","hande.cakir73@gmail.com","GD35ZHX4473YAHQO4AKTDWXQA4QJAWGJ3UXI6HISEWSPQHBDNLNVS5F7","4","Platform çok profesyonel görünüyor, tebrikler."
"2026/07/07 6:10:59 ÖS GMT+3","Yiğit Akgün","yigit.akgun14@gmail.com","GBCY744FJUXQOA62ASVSNNH467TJZUOQAMDMHB2B4UGZYVFSBYQPWDD3","5","Böyle bir platformu uzun zamandır bekliyordum!"
"2026/07/07 6:11:05 ÖS GMT+3","Ayşe Kılıç","ayse.kilic77@gmail.com","GBW34JH7K23C7X6GVGNK3XX7LVYQRPVJPPSKPXM5TPETS5LT2MBQMOZC","5","Proje ekibi gerçekten çok çalışıyor, başarılar dilerim!"
"2026/07/07 6:11:06 ÖS GMT+3","Hakan Polat","hakan.polat45@gmail.com","GCMEJ2RKIV5QKV4FGX6QMKIFJLNEZ2D2RK4V5MD6LO6QHNBMWP4HEM5S","5","Blockchain tabanlı kitle fonlaması geleceği bu."
"2026/07/07 6:11:09 ÖS GMT+3","Cansu Tekin","cansu.tekin63@gmail.com","GA7TSFRDJ4PMDVAMVORG6EEVANGF7WP43Q6U7QUMJUUT5GABX35LOACC","5","Gerçekten fark yaratan bir proje, başarılar!"
"2026/07/07 6:11:18 ÖS GMT+3","Eren Polat","eren.polat26@gmail.com","GCB3NKFS63RCEYL7YR3WSUFQQQBDTOAZTKTXK2WU2O6LJCZOMM7HOJ4E","4","Projenin geleceği çok parlak görünüyor."
"2026/07/07 6:11:32 ÖS GMT+3","Sude Karaca","sude.karaca71@gmail.com","GC44NJNYVREV4PXCCZF27FG2FEYT7J4MNV727H3OJTVTRMPEGP33YLQF","5","Kampanya hedefine ulaşana kadar takip edebilmek harika."
"2026/07/07 6:11:34 ÖS GMT+3","Nazlı Özer","nazli.ozer49@gmail.com","GDYNGBSNAM44V5X5QSLOZ656T7A4CQJHOTTIJHHTETQ7RXF522RJWM3X","4","Donor leaderboard sayesinde rekabet keyifli hale gelmiş."
"2026/07/07 6:11:34 ÖS GMT+3","Berk Özdemir","berk.ozdemir26@gmail.com","GB7H6KSUCGIBXCJLWMN3HMB7GIKFPNZOKU5R7OJSRKOQEPYG2CE4KK53","4","Proje çok iyi bir noktaya doğru ilerliyor."
"2026/07/07 6:11:41 ÖS GMT+3","Kemal Şen","kemal.sen19@gmail.com","GCC7SYAVB7A5JGF4QKL2WPU6I7N7MCHK6Z5QO5GJR3TIST5DGH6FUOVP","5","Kampanya oluşturmak çok kolay ve hızlı."
"2026/07/07 6:11:43 ÖS GMT+3","Murat Koçak","murat.kocak75@gmail.com","GCWJIJLPLVPLPOYXCBJODRUWOTJSWDKFHQEKQVPSYZOXOTXO7NDFTOYH","5","Kullanıcı arayüzü çok başarılı tasarlanmış."
"2026/07/07 6:11:51 ÖS GMT+3","Sıla Yıldız","sila.yildiz92@gmail.com","GBUHEVUH7WFZSKWYGCARIRXTRZG3SVOCKTWRWCOXSRQANRM7TK3HRX4W","5","İlk bağış deneyimim çok olumlu geçti."
"2026/07/07 6:12:04 ÖS GMT+3","Ceren Işık","ceren.isik58@gmail.com","GBIDML3LUMMSC22RJCFEX2ZFEXUVFXCF6V4BNAIAHRWKPKOUKQGH3RHC","5","Ekibin bu kadar özverili çalışması gerçekten ilham verici."
"2026/07/07 6:12:06 ÖS GMT+3","Ali Yıldız","ali.yildiz55@gmail.com","GCC4SOKMTN3E6BVKDXDTE6T3B6ZJD5FY54X7UDJH7WROVVJ3EYYBKWGB","4","Milestone bütçesini serbest bırakırken tek yönetici yerine çoklu imza (multi-sig) onayı olsa güvenlik için daha iyi olur."
"2026/07/07 6:12:12 ÖS GMT+3","Göktuğ Bayrak","goktug.bayrak35@gmail.com","GBRRDPNFX4YPKDH53BBSLX3TN5GQ4WEWJEAE7Q576DDY7ZZI2HI3ICS5","4","Kullanım kılavuzu sayesinde her şeyi çok kolay öğrendim."
"2026/07/07 6:12:17 ÖS GMT+3","Gizem Taş","gizem.tas82@gmail.com","GB7MFXVKFAS3HOZLJ7C5O4LDNTDYTDXEJL7GK23GULMJB2HV7FO6G3NW","5","Kullanıcı deneyimi mükemmel, her şey çok akıcı."
"2026/07/07 6:12:17 ÖS GMT+3","Aslı Güner","asli.guner84@gmail.com","GB7YOCT6P7FKM2HET5JJH74SDPZMBZ4QUXUYI22LDIG4D3NK2J7DA7RK","5","Testnet deneyimi bile cok keyifliydi, mainneti merakla bekliyorum!"
"2026/07/07 6:12:21 ÖS GMT+3","Dilara Acar","dilara.acar31@gmail.com","GDE7UNZSDIRKAOSBNQ3GTHTJX33XS5QVO36GSJ6GGJTZQH3AH6WEKFHQ","4","Proje sahipleri bütçeleri çekerken tek imza yerine çoklu imza (multi-sig) kullansa çok daha güvenli olurdu."
"2026/07/07 6:12:23 ÖS GMT+3","Barış Dursun","baris.dursun05@gmail.com","GBDAVJBKQELDNIM2J6IKTMHTOUHE3FM7CZH5CRCRAXUHM77RCCJIKJNC","5","Ekibin vizyonuna hayran kaldım, destekliyorum."
"2026/07/07 6:12:54 ÖS GMT+3","Zeynep Demir","zeynep.demir78@gmail.com","GA7UC2WKG4O6W2JDQ67LRJQ7CZRXVXTVPGI6KVDJ54CIX24XJLHXRAYE","4","Kullanımı kolay ama bağış yaparken cüzdana ilk kez XLM yüklemek zor. Gazsız işlem (fee sponsorship) desteği gelse süper olur."
"2026/07/07 6:13:16 ÖS GMT+3","Can Öztürk","can.ozturk99@gmail.com","GBHP2MDAXEZAZXHR7EE5MYXCRO2EZUJXZOLKVZQSUOVWM5EZ5VFXIM6F","4","NFT ödülleri harika bir motivasyon kaynağı."
"2026/07/07 6:13:19 ÖS GMT+3","Buse Aksoy","buse.aksoy85@gmail.com","GBRCHXPIXF7V33ARYHU3ECGO6S7XGKY423ZEFLY74HFXINXWOIPVMJ7F","5","Herkesin desteklemesi gereken bir oluşum."
"2026/07/07 6:13:43 ÖS GMT+3","Esra Bulut","esra.bulut13@gmail.com","GDYQBJC3SNO5Q73W54TBDPNMYIQ6WWD4YFPX62YW7F5YDOWCGCXKTSB5","4","Vote sistemi çok mantıklı ve adil."
"2026/07/07 6:14:09 ÖS GMT+3","Fatih Kurt","fatih.kurt28@gmail.com","GC2OKC7JWUMDECGH7DNEP4JQGEO44BASFNDQ4S6DXH74OGMUDRVTVQYM","4","Oylama sistemi çok adil ve şeffaf."
"2026/07/07 6:14:28 ÖS GMT+3","Uğur Korkmaz","ugur.korkmaz62@gmail.com","GDPEV3ZZTXSO6TI5XHNK4G2KUB7DQL5IJBQ3DFWTE2MWYGP62GLHRTEH","5","Bu platform sayesinde kitle fonlamasına güvenim arttı."
"2026/07/07 6:14:34 ÖS GMT+3","Mert Güngör","mert.gungor68@gmail.com","GBGVJK3P2GKFBNORPCUHJQMNOCCCQCD2LTZCM4I6GMFCOPUB3CJZ3XFX","5","Bu projeyi herkese tavsiye ediyorum!"
"2026/07/07 6:14:44 ÖS GMT+3","Emre Can","emre.can91@gmail.com","GCGEXQA4POZ2HEQNUSIP3C2BXKMCIDXJFYQQOGTYA36HO3SJM463F7E3","5","Bağış yapmak artık çok anlamlı ve güvenli."
"2026/07/07 6:14:53 ÖS GMT+3","Mehmet Kaya","mehmet.k44@gmail.com","GD46L45WZQHHVTJHAZCOROTCFLB6W5U5BIX7DIQXIVMP4GBWHFPKTBI5","5","Milestone sistemi sayesinde bağışların nereye gittiği çok net."
"2026/07/07 6:15:16 ÖS GMT+3","Mustafa Arslan","mustafa.arslan23@gmail.com","GD6HHBP4OQ7QCAQZLR2VQKTJ52ACZFVTIK66B3KQMCPGAMZ254VMQGO7","5","Çok yenilikçi bir fikir, herkesin desteklemesi lazım."
"2026/07/07 6:15:30 ÖS GMT+3","Ozan Kılıçarslan","ozan.kilicarslan@gmail.com","GB5M67Y6SJXLYFID6MZFC7KYFLJEL3R3ORS4Y7HFOPAXN47X2ZB73BSC","5","Görsel timeline çok iyi düşünülmüş."
